CPT_CODES, CPT_DESCRIPTION, ICD_CODES, ICD_DESCRIPTION
93453, R&l hrt cath w/ventriclgrphy<<<wut>>>COMBINED RIGHT AND LEFT HEART CATHETERIZATION INCLUDING INTRAPROCEDURAL INJECTION(S) FOR LEFT VENTRICULOGRAPHY, IMAGING SUPERVISION AND INTERPRETATION, WHEN PERFORMED, A18.84, Tuberculosis of heart
93461, R&l hrt art/ventricle angio<<<wut>>>CATHETER PLACEMENT IN CORONARY ARTERY(S) FOR CORONARY ANGIOGRAPHY, INCLUDING INTRAPROCEDURAL INJECTION(S) FOR CORONARY ANGIOGRAPHY, IMAGING SUPERVISION AND INTERPRETATION; WITH RIGHT AND LEFT HEART CATHETERIZATION INCLUDING INTRAPROCEDURAL INJECTION(S) FOR LEFT VENTRICULOGRAPHY, WHEN PERFORMED, CATHETER PLACEMENT(S) IN BYPASS GRAFT(S) (INTERNAL MAMMARY, FREE ARTERIAL, VENOUS GRAFTS) WITH BYPASS GRAFT ANGIOGRAPHY, I50.31, Acute diastolic (congestive) heart failure
93461, R&l hrt art/ventricle angio<<<wut>>>CATHETER PLACEMENT IN CORONARY ARTERY(S) FOR CORONARY ANGIOGRAPHY, INCLUDING INTRAPROCEDURAL INJECTION(S) FOR CORONARY ANGIOGRAPHY, IMAGING SUPERVISION AND INTERPRETATION; WITH RIGHT AND LEFT HEART CATHETERIZATION INCLUDING INTRAPROCEDURAL INJECTION(S) FOR LEFT VENTRICULOGRAPHY, WHEN PERFORMED, CATHETER PLACEMENT(S) IN BYPASS GRAFT(S) (INTERNAL MAMMARY, FREE ARTERIAL, VENOUS GRAFTS) WITH BYPASS GRAFT ANGIOGRAPHY, I50.32, Chronic diastolic (congestive) heart failure
93461, R&l hrt art/ventricle angio<<<wut>>>CATHETER PLACEMENT IN CORONARY ARTERY(S) FOR CORONARY ANGIOGRAPHY, INCLUDING INTRAPROCEDURAL INJECTION(S) FOR CORONARY ANGIOGRAPHY, IMAGING SUPERVISION AND INTERPRETATION; WITH RIGHT AND LEFT HEART CATHETERIZATION INCLUDING INTRAPROCEDURAL INJECTION(S) FOR LEFT VENTRICULOGRAPHY, WHEN PERFORMED, CATHETER PLACEMENT(S) IN BYPASS GRAFT(S) (INTERNAL MAMMARY, FREE ARTERIAL, VENOUS GRAFTS) WITH BYPASS GRAFT ANGIOGRAPHY, I50.33, Acute on chronic diastolic (congestive) heart failure
93461, R&l hrt art/ventricle angio<<<wut>>>CATHETER PLACEMENT IN CORONARY ARTERY(S) FOR CORONARY ANGIOGRAPHY, INCLUDING INTRAPROCEDURAL INJECTION(S) FOR CORONARY ANGIOGRAPHY, IMAGING SUPERVISION AND INTERPRETATION; WITH RIGHT AND LEFT HEART CATHETERIZATION INCLUDING INTRAPROCEDURAL INJECTION(S) FOR LEFT VENTRICULOGRAPHY, WHEN PERFORMED, CATHETER PLACEMENT(S) IN BYPASS GRAFT(S) (INTERNAL MAMMARY, FREE ARTERIAL, VENOUS GRAFTS) WITH BYPASS GRAFT ANGIOGRAPHY, I50.40, Unspecified combined systolic (congestive) and diastolic (congestive) heart failure
93461, R&l hrt art/ventricle angio<<<wut>>>CATHETER PLACEMENT IN CORONARY ARTERY(S) FOR CORONARY ANGIOGRAPHY, INCLUDING INTRAPROCEDURAL INJECTION(S) FOR CORONARY ANGIOGRAPHY, IMAGING SUPERVISION AND INTERPRETATION; WITH RIGHT AND LEFT HEART CATHETERIZATION INCLUDING INTRAPROCEDURAL INJECTION(S) FOR LEFT VENTRICULOGRAPHY, WHEN PERFORMED, CATHETER PLACEMENT(S) IN BYPASS GRAFT(S) (INTERNAL MAMMARY, FREE ARTERIAL, VENOUS GRAFTS) WITH BYPASS GRAFT ANGIOGRAPHY, I50.41, Acute combined systolic (congestive) and diastolic (congestive) heart failure
93461, R&l hrt art/ventricle angio<<<wut>>>CATHETER PLACEMENT IN CORONARY ARTERY(S) FOR CORONARY ANGIOGRAPHY, INCLUDING INTRAPROCEDURAL INJECTION(S) FOR CORONARY ANGIOGRAPHY, IMAGING SUPERVISION AND INTERPRETATION; WITH RIGHT AND LEFT HEART CATHETERIZATION INCLUDING INTRAPROCEDURAL INJECTION(S) FOR LEFT VENTRICULOGRAPHY, WHEN PERFORMED, CATHETER PLACEMENT(S) IN BYPASS GRAFT(S) (INTERNAL MAMMARY, FREE ARTERIAL, VENOUS GRAFTS) WITH BYPASS GRAFT ANGIOGRAPHY, I50.42, Chronic combined systolic (congestive) and diastolic (congestive) heart failure
93461, R&l hrt art/ventricle angio<<<wut>>>CATHETER PLACEMENT IN CORONARY ARTERY(S) FOR CORONARY ANGIOGRAPHY, INCLUDING INTRAPROCEDURAL INJECTION(S) FOR CORONARY ANGIOGRAPHY, IMAGING SUPERVISION AND INTERPRETATION; WITH RIGHT AND LEFT HEART CATHETERIZATION INCLUDING INTRAPROCEDURAL INJECTION(S) FOR LEFT VENTRICULOGRAPHY, WHEN PERFORMED, CATHETER PLACEMENT(S) IN BYPASS GRAFT(S) (INTERNAL MAMMARY, FREE ARTERIAL, VENOUS GRAFTS) WITH BYPASS GRAFT ANGIOGRAPHY, I50.43, Acute on chronic combined systolic (congestive) and diastolic (congestive) heart failure
93461, R&l hrt art/ventricle angio<<<wut>>>CATHETER PLACEMENT IN CORONARY ARTERY(S) FOR CORONARY ANGIOGRAPHY, INCLUDING INTRAPROCEDURAL INJECTION(S) FOR CORONARY ANGIOGRAPHY, IMAGING SUPERVISION AND INTERPRETATION; WITH RIGHT AND LEFT HEART CATHETERIZATION INCLUDING INTRAPROCEDURAL INJECTION(S) FOR LEFT VENTRICULOGRAPHY, WHEN PERFORMED, CATHETER PLACEMENT(S) IN BYPASS GRAFT(S) (INTERNAL MAMMARY, FREE ARTERIAL, VENOUS GRAFTS) WITH BYPASS GRAFT ANGIOGRAPHY, I50.810, Right heart failure, unspecified
93461, R&l hrt art/ventricle angio<<<wut>>>CATHETER PLACEMENT IN CORONARY ARTERY(S) FOR CORONARY ANGIOGRAPHY, INCLUDING INTRAPROCEDURAL INJECTION(S) FOR CORONARY ANGIOGRAPHY, IMAGING SUPERVISION AND INTERPRETATION; WITH RIGHT AND LEFT HEART CATHETERIZATION INCLUDING INTRAPROCEDURAL INJECTION(S) FOR LEFT VENTRICULOGRAPHY, WHEN PERFORMED, CATHETER PLACEMENT(S) IN BYPASS GRAFT(S) (INTERNAL MAMMARY, FREE ARTERIAL, VENOUS GRAFTS) WITH BYPASS GRAFT ANGIOGRAPHY, I50.811, Acute right heart failure
93461, R&l hrt art/ventricle angio<<<wut>>>CATHETER PLACEMENT IN CORONARY ARTERY(S) FOR CORONARY ANGIOGRAPHY, INCLUDING INTRAPROCEDURAL INJECTION(S) FOR CORONARY ANGIOGRAPHY, IMAGING SUPERVISION AND INTERPRETATION; WITH RIGHT AND LEFT HEART CATHETERIZATION INCLUDING INTRAPROCEDURAL INJECTION(S) FOR LEFT VENTRICULOGRAPHY, WHEN PERFORMED, CATHETER PLACEMENT(S) IN BYPASS GRAFT(S) (INTERNAL MAMMARY, FREE ARTERIAL, VENOUS GRAFTS) WITH BYPASS GRAFT ANGIOGRAPHY, I50.812, Chronic right heart failure
93461, R&l hrt art/ventricle angio<<<wut>>>CATHETER PLACEMENT IN CORONARY ARTERY(S) FOR CORONARY ANGIOGRAPHY, INCLUDING INTRAPROCEDURAL INJECTION(S) FOR CORONARY ANGIOGRAPHY, IMAGING SUPERVISION AND INTERPRETATION; WITH RIGHT AND LEFT HEART CATHETERIZATION INCLUDING INTRAPROCEDURAL INJECTION(S) FOR LEFT VENTRICULOGRAPHY, WHEN PERFORMED, CATHETER PLACEMENT(S) IN BYPASS GRAFT(S) (INTERNAL MAMMARY, FREE ARTERIAL, VENOUS GRAFTS) WITH BYPASS GRAFT ANGIOGRAPHY, I50.813, Acute on chronic right heart failure
93461, R&l hrt art/ventricle angio<<<wut>>>CATHETER PLACEMENT IN CORONARY ARTERY(S) FOR CORONARY ANGIOGRAPHY, INCLUDING INTRAPROCEDURAL INJECTION(S) FOR CORONARY ANGIOGRAPHY, IMAGING SUPERVISION AND INTERPRETATION; WITH RIGHT AND LEFT HEART CATHETERIZATION INCLUDING INTRAPROCEDURAL INJECTION(S) FOR LEFT VENTRICULOGRAPHY, WHEN PERFORMED, CATHETER PLACEMENT(S) IN BYPASS GRAFT(S) (INTERNAL MAMMARY, FREE ARTERIAL, VENOUS GRAFTS) WITH BYPASS GRAFT ANGIOGRAPHY, I50.814, Right heart failure due to left heart failure
93461, R&l hrt art/ventricle angio<<<wut>>>CATHETER PLACEMENT IN CORONARY ARTERY(S) FOR CORONARY ANGIOGRAPHY, INCLUDING INTRAPROCEDURAL INJECTION(S) FOR CORONARY ANGIOGRAPHY, IMAGING SUPERVISION AND INTERPRETATION; WITH RIGHT AND LEFT HEART CATHETERIZATION INCLUDING INTRAPROCEDURAL INJECTION(S) FOR LEFT VENTRICULOGRAPHY, WHEN PERFORMED, CATHETER PLACEMENT(S) IN BYPASS GRAFT(S) (INTERNAL MAMMARY, FREE ARTERIAL, VENOUS GRAFTS) WITH BYPASS GRAFT ANGIOGRAPHY, I50.82, Biventricular heart failure
93461, R&l hrt art/ventricle angio<<<wut>>>CATHETER PLACEMENT IN CORONARY ARTERY(S) FOR CORONARY ANGIOGRAPHY, INCLUDING INTRAPROCEDURAL INJECTION(S) FOR CORONARY ANGIOGRAPHY, IMAGING SUPERVISION AND INTERPRETATION; WITH RIGHT AND LEFT HEART CATHETERIZATION INCLUDING INTRAPROCEDURAL INJECTION(S) FOR LEFT VENTRICULOGRAPHY, WHEN PERFORMED, CATHETER PLACEMENT(S) IN BYPASS GRAFT(S) (INTERNAL MAMMARY, FREE ARTERIAL, VENOUS GRAFTS) WITH BYPASS GRAFT ANGIOGRAPHY, I50.83, High output heart failure
93461, R&l hrt art/ventricle angio<<<wut>>>CATHETER PLACEMENT IN CORONARY ARTERY(S) FOR CORONARY ANGIOGRAPHY, INCLUDING INTRAPROCEDURAL INJECTION(S) FOR CORONARY ANGIOGRAPHY, IMAGING SUPERVISION AND INTERPRETATION; WITH RIGHT AND LEFT HEART CATHETERIZATION INCLUDING INTRAPROCEDURAL INJECTION(S) FOR LEFT VENTRICULOGRAPHY, WHEN PERFORMED, CATHETER PLACEMENT(S) IN BYPASS GRAFT(S) (INTERNAL MAMMARY, FREE ARTERIAL, VENOUS GRAFTS) WITH BYPASS GRAFT ANGIOGRAPHY, I50.84, End stage heart failure
93461, R&l hrt art/ventricle angio<<<wut>>>CATHETER PLACEMENT IN CORONARY ARTERY(S) FOR CORONARY ANGIOGRAPHY, INCLUDING INTRAPROCEDURAL INJECTION(S) FOR CORONARY ANGIOGRAPHY, IMAGING SUPERVISION AND INTERPRETATION; WITH RIGHT AND LEFT HEART CATHETERIZATION INCLUDING INTRAPROCEDURAL INJECTION(S) FOR LEFT VENTRICULOGRAPHY, WHEN PERFORMED, CATHETER PLACEMENT(S) IN BYPASS GRAFT(S) (INTERNAL MAMMARY, FREE ARTERIAL, VENOUS GRAFTS) WITH BYPASS GRAFT ANGIOGRAPHY, I50.89, Other heart failure
93461, R&l hrt art/ventricle angio<<<wut>>>CATHETER PLACEMENT IN CORONARY ARTERY(S) FOR CORONARY ANGIOGRAPHY, INCLUDING INTRAPROCEDURAL INJECTION(S) FOR CORONARY ANGIOGRAPHY, IMAGING SUPERVISION AND INTERPRETATION; WITH RIGHT AND LEFT HEART CATHETERIZATION INCLUDING INTRAPROCEDURAL INJECTION(S) FOR LEFT VENTRICULOGRAPHY, WHEN PERFORMED, CATHETER PLACEMENT(S) IN BYPASS GRAFT(S) (INTERNAL MAMMARY, FREE ARTERIAL, VENOUS GRAFTS) WITH BYPASS GRAFT ANGIOGRAPHY, I50.9, Heart failure, unspecified
93461, R&l hrt art/ventricle angio<<<wut>>>CATHETER PLACEMENT IN CORONARY ARTERY(S) FOR CORONARY ANGIOGRAPHY, INCLUDING INTRAPROCEDURAL INJECTION(S) FOR CORONARY ANGIOGRAPHY, IMAGING SUPERVISION AND INTERPRETATION; WITH RIGHT AND LEFT HEART CATHETERIZATION INCLUDING INTRAPROCEDURAL INJECTION(S) FOR LEFT VENTRICULOGRAPHY, WHEN PERFORMED, CATHETER PLACEMENT(S) IN BYPASS GRAFT(S) (INTERNAL MAMMARY, FREE ARTERIAL, VENOUS GRAFTS) WITH BYPASS GRAFT ANGIOGRAPHY, I51.0, Cardiac septal defect, acquired
93461, R&l hrt art/ventricle angio<<<wut>>>CATHETER PLACEMENT IN CORONARY ARTERY(S) FOR CORONARY ANGIOGRAPHY, INCLUDING INTRAPROCEDURAL INJECTION(S) FOR CORONARY ANGIOGRAPHY, IMAGING SUPERVISION AND INTERPRETATION; WITH RIGHT AND LEFT HEART CATHETERIZATION INCLUDING INTRAPROCEDURAL INJECTION(S) FOR LEFT VENTRICULOGRAPHY, WHEN PERFORMED, CATHETER PLACEMENT(S) IN BYPASS GRAFT(S) (INTERNAL MAMMARY, FREE ARTERIAL, VENOUS GRAFTS) WITH BYPASS GRAFT ANGIOGRAPHY, I51.1, Rupture of chordae tendineae, not elsewhere classified
93461, R&l hrt art/ventricle angio<<<wut>>>CATHETER PLACEMENT IN CORONARY ARTERY(S) FOR CORONARY ANGIOGRAPHY, INCLUDING INTRAPROCEDURAL INJECTION(S) FOR CORONARY ANGIOGRAPHY, IMAGING SUPERVISION AND INTERPRETATION; WITH RIGHT AND LEFT HEART CATHETERIZATION INCLUDING INTRAPROCEDURAL INJECTION(S) FOR LEFT VENTRICULOGRAPHY, WHEN PERFORMED, CATHETER PLACEMENT(S) IN BYPASS GRAFT(S) (INTERNAL MAMMARY, FREE ARTERIAL, VENOUS GRAFTS) WITH BYPASS GRAFT ANGIOGRAPHY, I51.2, Rupture of papillary muscle, not elsewhere classified
93461, R&l hrt art/ventricle angio<<<wut>>>CATHETER PLACEMENT IN CORONARY ARTERY(S) FOR CORONARY ANGIOGRAPHY, INCLUDING INTRAPROCEDURAL INJECTION(S) FOR CORONARY ANGIOGRAPHY, IMAGING SUPERVISION AND INTERPRETATION; WITH RIGHT AND LEFT HEART CATHETERIZATION INCLUDING INTRAPROCEDURAL INJECTION(S) FOR LEFT VENTRICULOGRAPHY, WHEN PERFORMED, CATHETER PLACEMENT(S) IN BYPASS GRAFT(S) (INTERNAL MAMMARY, FREE ARTERIAL, VENOUS GRAFTS) WITH BYPASS GRAFT ANGIOGRAPHY, I51.4, Myocarditis, unspecified
93461, R&l hrt art/ventricle angio<<<wut>>>CATHETER PLACEMENT IN CORONARY ARTERY(S) FOR CORONARY ANGIOGRAPHY, INCLUDING INTRAPROCEDURAL INJECTION(S) FOR CORONARY ANGIOGRAPHY, IMAGING SUPERVISION AND INTERPRETATION; WITH RIGHT AND LEFT HEART CATHETERIZATION INCLUDING INTRAPROCEDURAL INJECTION(S) FOR LEFT VENTRICULOGRAPHY, WHEN PERFORMED, CATHETER PLACEMENT(S) IN BYPASS GRAFT(S) (INTERNAL MAMMARY, FREE ARTERIAL, VENOUS GRAFTS) WITH BYPASS GRAFT ANGIOGRAPHY, I51.5, Myocardial degeneration
93461, R&l hrt art/ventricle angio<<<wut>>>CATHETER PLACEMENT IN CORONARY ARTERY(S) FOR CORONARY ANGIOGRAPHY, INCLUDING INTRAPROCEDURAL INJECTION(S) FOR CORONARY ANGIOGRAPHY, IMAGING SUPERVISION AND INTERPRETATION; WITH RIGHT AND LEFT HEART CATHETERIZATION INCLUDING INTRAPROCEDURAL INJECTION(S) FOR LEFT VENTRICULOGRAPHY, WHEN PERFORMED, CATHETER PLACEMENT(S) IN BYPASS GRAFT(S) (INTERNAL MAMMARY, FREE ARTERIAL, VENOUS GRAFTS) WITH BYPASS GRAFT ANGIOGRAPHY, I51.7, Cardiomegaly
93461, R&l hrt art/ventricle angio<<<wut>>>CATHETER PLACEMENT IN CORONARY ARTERY(S) FOR CORONARY ANGIOGRAPHY, INCLUDING INTRAPROCEDURAL INJECTION(S) FOR CORONARY ANGIOGRAPHY, IMAGING SUPERVISION AND INTERPRETATION; WITH RIGHT AND LEFT HEART CATHETERIZATION INCLUDING INTRAPROCEDURAL INJECTION(S) FOR LEFT VENTRICULOGRAPHY, WHEN PERFORMED, CATHETER PLACEMENT(S) IN BYPASS GRAFT(S) (INTERNAL MAMMARY, FREE ARTERIAL, VENOUS GRAFTS) WITH BYPASS GRAFT ANGIOGRAPHY, I51.89, Other ill-defined heart diseases
93461, R&l hrt art/ventricle angio<<<wut>>>CATHETER PLACEMENT IN CORONARY ARTERY(S) FOR CORONARY ANGIOGRAPHY, INCLUDING INTRAPROCEDURAL INJECTION(S) FOR CORONARY ANGIOGRAPHY, IMAGING SUPERVISION AND INTERPRETATION; WITH RIGHT AND LEFT HEART CATHETERIZATION INCLUDING INTRAPROCEDURAL INJECTION(S) FOR LEFT VENTRICULOGRAPHY, WHEN PERFORMED, CATHETER PLACEMENT(S) IN BYPASS GRAFT(S) (INTERNAL MAMMARY, FREE ARTERIAL, VENOUS GRAFTS) WITH BYPASS GRAFT ANGIOGRAPHY, I97.0, Postcardiotomy syndrome
93461, R&l hrt art/ventricle angio<<<wut>>>CATHETER PLACEMENT IN CORONARY ARTERY(S) FOR CORONARY ANGIOGRAPHY, INCLUDING INTRAPROCEDURAL INJECTION(S) FOR CORONARY ANGIOGRAPHY, IMAGING SUPERVISION AND INTERPRETATION; WITH RIGHT AND LEFT HEART CATHETERIZATION INCLUDING INTRAPROCEDURAL INJECTION(S) FOR LEFT VENTRICULOGRAPHY, WHEN PERFORMED, CATHETER PLACEMENT(S) IN BYPASS GRAFT(S) (INTERNAL MAMMARY, FREE ARTERIAL, VENOUS GRAFTS) WITH BYPASS GRAFT ANGIOGRAPHY, I97.110, Postprocedural cardiac insufficiency following cardiac surgery
93461, R&l hrt art/ventricle angio<<<wut>>>CATHETER PLACEMENT IN CORONARY ARTERY(S) FOR CORONARY ANGIOGRAPHY, INCLUDING INTRAPROCEDURAL INJECTION(S) FOR CORONARY ANGIOGRAPHY, IMAGING SUPERVISION AND INTERPRETATION; WITH RIGHT AND LEFT HEART CATHETERIZATION INCLUDING INTRAPROCEDURAL INJECTION(S) FOR LEFT VENTRICULOGRAPHY, WHEN PERFORMED, CATHETER PLACEMENT(S) IN BYPASS GRAFT(S) (INTERNAL MAMMARY, FREE ARTERIAL, VENOUS GRAFTS) WITH BYPASS GRAFT ANGIOGRAPHY, I97.111, Postprocedural cardiac insufficiency following other surgery
93461, R&l hrt art/ventricle angio<<<wut>>>CATHETER PLACEMENT IN CORONARY ARTERY(S) FOR CORONARY ANGIOGRAPHY, INCLUDING INTRAPROCEDURAL INJECTION(S) FOR CORONARY ANGIOGRAPHY, IMAGING SUPERVISION AND INTERPRETATION; WITH RIGHT AND LEFT HEART CATHETERIZATION INCLUDING INTRAPROCEDURAL INJECTION(S) FOR LEFT VENTRICULOGRAPHY, WHEN PERFORMED, CATHETER PLACEMENT(S) IN BYPASS GRAFT(S) (INTERNAL MAMMARY, FREE ARTERIAL, VENOUS GRAFTS) WITH BYPASS GRAFT ANGIOGRAPHY, I97.120, Postprocedural cardiac arrest following cardiac surgery
93461, R&l hrt art/ventricle angio<<<wut>>>CATHETER PLACEMENT IN CORONARY ARTERY(S) FOR CORONARY ANGIOGRAPHY, INCLUDING INTRAPROCEDURAL INJECTION(S) FOR CORONARY ANGIOGRAPHY, IMAGING SUPERVISION AND INTERPRETATION; WITH RIGHT AND LEFT HEART CATHETERIZATION INCLUDING INTRAPROCEDURAL INJECTION(S) FOR LEFT VENTRICULOGRAPHY, WHEN PERFORMED, CATHETER PLACEMENT(S) IN BYPASS GRAFT(S) (INTERNAL MAMMARY, FREE ARTERIAL, VENOUS GRAFTS) WITH BYPASS GRAFT ANGIOGRAPHY, I97.121, Postprocedural cardiac arrest following other surgery
93461, R&l hrt art/ventricle angio<<<wut>>>CATHETER PLACEMENT IN CORONARY ARTERY(S) FOR CORONARY ANGIOGRAPHY, INCLUDING INTRAPROCEDURAL INJECTION(S) FOR CORONARY ANGIOGRAPHY, IMAGING SUPERVISION AND INTERPRETATION; WITH RIGHT AND LEFT HEART CATHETERIZATION INCLUDING INTRAPROCEDURAL INJECTION(S) FOR LEFT VENTRICULOGRAPHY, WHEN PERFORMED, CATHETER PLACEMENT(S) IN BYPASS GRAFT(S) (INTERNAL MAMMARY, FREE ARTERIAL, VENOUS GRAFTS) WITH BYPASS GRAFT ANGIOGRAPHY, I97.130, Postprocedural heart failure following cardiac surgery
93461, R&l hrt art/ventricle angio<<<wut>>>CATHETER PLACEMENT IN CORONARY ARTERY(S) FOR CORONARY ANGIOGRAPHY, INCLUDING INTRAPROCEDURAL INJECTION(S) FOR CORONARY ANGIOGRAPHY, IMAGING SUPERVISION AND INTERPRETATION; WITH RIGHT AND LEFT HEART CATHETERIZATION INCLUDING INTRAPROCEDURAL INJECTION(S) FOR LEFT VENTRICULOGRAPHY, WHEN PERFORMED, CATHETER PLACEMENT(S) IN BYPASS GRAFT(S) (INTERNAL MAMMARY, FREE ARTERIAL, VENOUS GRAFTS) WITH BYPASS GRAFT ANGIOGRAPHY, I97.131, Postprocedural heart failure following other surgery
93461, R&l hrt art/ventricle angio<<<wut>>>CATHETER PLACEMENT IN CORONARY ARTERY(S) FOR CORONARY ANGIOGRAPHY, INCLUDING INTRAPROCEDURAL INJECTION(S) FOR CORONARY ANGIOGRAPHY, IMAGING SUPERVISION AND INTERPRETATION; WITH RIGHT AND LEFT HEART CATHETERIZATION INCLUDING INTRAPROCEDURAL INJECTION(S) FOR LEFT VENTRICULOGRAPHY, WHEN PERFORMED, CATHETER PLACEMENT(S) IN BYPASS GRAFT(S) (INTERNAL MAMMARY, FREE ARTERIAL, VENOUS GRAFTS) WITH BYPASS GRAFT ANGIOGRAPHY, I97.190, Other postprocedural cardiac functional disturbances following cardiac surgery
93461, R&l hrt art/ventricle angio<<<wut>>>CATHETER PLACEMENT IN CORONARY ARTERY(S) FOR CORONARY ANGIOGRAPHY, INCLUDING INTRAPROCEDURAL INJECTION(S) FOR CORONARY ANGIOGRAPHY, IMAGING SUPERVISION AND INTERPRETATION; WITH RIGHT AND LEFT HEART CATHETERIZATION INCLUDING INTRAPROCEDURAL INJECTION(S) FOR LEFT VENTRICULOGRAPHY, WHEN PERFORMED, CATHETER PLACEMENT(S) IN BYPASS GRAFT(S) (INTERNAL MAMMARY, FREE ARTERIAL, VENOUS GRAFTS) WITH BYPASS GRAFT ANGIOGRAPHY, I97.191, Other postprocedural cardiac functional disturbances following other surgery
93461, R&l hrt art/ventricle angio<<<wut>>>CATHETER PLACEMENT IN CORONARY ARTERY(S) FOR CORONARY ANGIOGRAPHY, INCLUDING INTRAPROCEDURAL INJECTION(S) FOR CORONARY ANGIOGRAPHY, IMAGING SUPERVISION AND INTERPRETATION; WITH RIGHT AND LEFT HEART CATHETERIZATION INCLUDING INTRAPROCEDURAL INJECTION(S) FOR LEFT VENTRICULOGRAPHY, WHEN PERFORMED, CATHETER PLACEMENT(S) IN BYPASS GRAFT(S) (INTERNAL MAMMARY, FREE ARTERIAL, VENOUS GRAFTS) WITH BYPASS GRAFT ANGIOGRAPHY, M32.11, Endocarditis in systemic lupus erythematosus
93461, R&l hrt art/ventricle angio<<<wut>>>CATHETER PLACEMENT IN CORONARY ARTERY(S) FOR CORONARY ANGIOGRAPHY, INCLUDING INTRAPROCEDURAL INJECTION(S) FOR CORONARY ANGIOGRAPHY, IMAGING SUPERVISION AND INTERPRETATION; WITH RIGHT AND LEFT HEART CATHETERIZATION INCLUDING INTRAPROCEDURAL INJECTION(S) FOR LEFT VENTRICULOGRAPHY, WHEN PERFORMED, CATHETER PLACEMENT(S) IN BYPASS GRAFT(S) (INTERNAL MAMMARY, FREE ARTERIAL, VENOUS GRAFTS) WITH BYPASS GRAFT ANGIOGRAPHY, M32.12, Pericarditis in systemic lupus erythematosus
93461, R&l hrt art/ventricle angio<<<wut>>>CATHETER PLACEMENT IN CORONARY ARTERY(S) FOR CORONARY ANGIOGRAPHY, INCLUDING INTRAPROCEDURAL INJECTION(S) FOR CORONARY ANGIOGRAPHY, IMAGING SUPERVISION AND INTERPRETATION; WITH RIGHT AND LEFT HEART CATHETERIZATION INCLUDING INTRAPROCEDURAL INJECTION(S) FOR LEFT VENTRICULOGRAPHY, WHEN PERFORMED, CATHETER PLACEMENT(S) IN BYPASS GRAFT(S) (INTERNAL MAMMARY, FREE ARTERIAL, VENOUS GRAFTS) WITH BYPASS GRAFT ANGIOGRAPHY, O90.3, Peripartum cardiomyopathy
93461, R&l hrt art/ventricle angio<<<wut>>>CATHETER PLACEMENT IN CORONARY ARTERY(S) FOR CORONARY ANGIOGRAPHY, INCLUDING INTRAPROCEDURAL INJECTION(S) FOR CORONARY ANGIOGRAPHY, IMAGING SUPERVISION AND INTERPRETATION; WITH RIGHT AND LEFT HEART CATHETERIZATION INCLUDING INTRAPROCEDURAL INJECTION(S) FOR LEFT VENTRICULOGRAPHY, WHEN PERFORMED, CATHETER PLACEMENT(S) IN BYPASS GRAFT(S) (INTERNAL MAMMARY, FREE ARTERIAL, VENOUS GRAFTS) WITH BYPASS GRAFT ANGIOGRAPHY, Q21.0, Ventricular septal defect
93461, R&l hrt art/ventricle angio<<<wut>>>CATHETER PLACEMENT IN CORONARY ARTERY(S) FOR CORONARY ANGIOGRAPHY, INCLUDING INTRAPROCEDURAL INJECTION(S) FOR CORONARY ANGIOGRAPHY, IMAGING SUPERVISION AND INTERPRETATION; WITH RIGHT AND LEFT HEART CATHETERIZATION INCLUDING INTRAPROCEDURAL INJECTION(S) FOR LEFT VENTRICULOGRAPHY, WHEN PERFORMED, CATHETER PLACEMENT(S) IN BYPASS GRAFT(S) (INTERNAL MAMMARY, FREE ARTERIAL, VENOUS GRAFTS) WITH BYPASS GRAFT ANGIOGRAPHY, Q21.1, Atrial septal defect
93461, R&l hrt art/ventricle angio<<<wut>>>CATHETER PLACEMENT IN CORONARY ARTERY(S) FOR CORONARY ANGIOGRAPHY, INCLUDING INTRAPROCEDURAL INJECTION(S) FOR CORONARY ANGIOGRAPHY, IMAGING SUPERVISION AND INTERPRETATION; WITH RIGHT AND LEFT HEART CATHETERIZATION INCLUDING INTRAPROCEDURAL INJECTION(S) FOR LEFT VENTRICULOGRAPHY, WHEN PERFORMED, CATHETER PLACEMENT(S) IN BYPASS GRAFT(S) (INTERNAL MAMMARY, FREE ARTERIAL, VENOUS GRAFTS) WITH BYPASS GRAFT ANGIOGRAPHY, Q22.5, Ebstein's anomaly
93461, R&l hrt art/ventricle angio<<<wut>>>CATHETER PLACEMENT IN CORONARY ARTERY(S) FOR CORONARY ANGIOGRAPHY, INCLUDING INTRAPROCEDURAL INJECTION(S) FOR CORONARY ANGIOGRAPHY, IMAGING SUPERVISION AND INTERPRETATION; WITH RIGHT AND LEFT HEART CATHETERIZATION INCLUDING INTRAPROCEDURAL INJECTION(S) FOR LEFT VENTRICULOGRAPHY, WHEN PERFORMED, CATHETER PLACEMENT(S) IN BYPASS GRAFT(S) (INTERNAL MAMMARY, FREE ARTERIAL, VENOUS GRAFTS) WITH BYPASS GRAFT ANGIOGRAPHY, R93.1, Abnormal findings on diagnostic imaging of heart and coronary circulation
